,id,movie,year,time,rating,score,votes,gross,description,director,star,genre
468,468,Stalag 17,1953,120 min,8.0,84        ,"54,529",%^%^%^,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.",Billy Wilder,'William Holden' 'Don Taylor' 'Otto Preminger' 'Robert Strauss',"
Comedy, Drama, War            "
457,457,Vivre sa vie: Film en douze tableaux,1962,80 min,8.0,****,"30,399",%^%^%^,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Jean-Luc Godard,'Anna Karina' 'Sady Rebbot' 'André S. Labarthe' 'Guylaine Schlumberger',"
Drama            "
141,141,Masaan,2015,109 min,8.2,****,"26,529",%^%^%^,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Neeraj Ghaywan,'Richa Chadha' 'Sanjay Mishra' 'Vicky Kaushal' 'Pankaj Tripathi',"
Drama            "
582,582,The Big Heat,1953,89 min,7.9,****,"25,756",%^%^%^,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,Fritz Lang,'Glenn Ford' 'Gloria Grahame' 'Jocelyn Brando' 'Alexander Scourby',"
Crime, Film-Noir, Thriller            "
469,469,Roman Holiday,1953,118 min,8.0,78        ,"134,406",%^%^%^,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler,'Gregory Peck' 'Audrey Hepburn' 'Eddie Albert' 'Hartley Power',"
Comedy, Romance            "
198,198,Tôkyô monogatari,1953,136 min,8.2,****,"58,572",%^%^%^,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,'Chishû Ryû' 'Chieko Higashiyama' 'Sô Yamamura' 'Setsuko Hara',"
Drama            "
325,325,Le salaire de la peur,1953,131 min,8.1,85        ,"58,819",%^%^%^,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,'Yves Montand' 'Charles Vanel' 'Peter van Eyck' 'Folco Lulli',"
Adventure, Drama, Thriller            "
467,467,La Strada,1954,108 min,8.0,****,"61,409",%^%^%^,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini,'Anthony Quinn' 'Giulietta Masina' 'Richard Basehart' 'Aldo Silvani',"
Drama            "
313,313,Ivanovo detstvo,1962,95 min,8.1,****,"34,824",%^%^%^,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.","Directors:Andrei Tarkovsky, Eduard Abalov",'Nikolay Burlyaev' 'Valentin Zubkov' 'Evgeniy Zharikov' 'Stepan Krylov',"
Drama, War            "
576,576,The Manchurian Candidate,1962,126 min,7.9,94        ,"74,017",%^%^%^,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,John Frankenheimer,'Frank Sinatra' 'Laurence Harvey' 'Janet Leigh' 'Angela Lansbury',"
Drama, Thriller            "
62,62,Ayla: The Daughter of War,2017,125 min,8.4,****,"37,571",%^%^%^,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »","Directors:Can Ulkay, Halenur Uzunoglu",'Çetin Tekindor' 'Ismail Hacioglu' 'Kyung-jin Lee' 'Kim Seol',"
Biography, Drama, History            "
181,181,Höstsonaten,1978,99 min,8.2,****,"32,241",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Ingmar Bergman,'Ingrid Bergman' 'Liv Ullmann' 'Lena Nyman' 'Halvar Björk',"
Drama, Music            "
330,330,Roma città aperta,1945,103 min,8.1,****,"25,435",%^%^%^,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",Roberto Rossellini,'Anna Magnani' 'Aldo Fabrizi' 'Marcello Pagliero' 'Vito Annichiarico',"
Drama, Thriller, War            "
12,12,Sardar Udham,2021,164 min,8.8,****,"31,850",%^%^%^,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,'Vicky Kaushal' 'Banita Sandhu' 'Shaun Scott' 'Stephen Hogan',"
Biography, Crime, Drama            "
693,693,Lat sau san taam,1992,128 min,7.8,****,"49,087",%^%^%^,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,John Woo,'Chow Yun-Fat' 'Tony Chiu-Wai Leung' 'Teresa Mo' 'Philip Chan',"
Action, Crime, Thriller            "
402,402,Yeopgijeogin geunyeo,2001,137 min,8.0,****,"47,147",%^%^%^,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Jae-young Kwak,'Tae-Hyun Cha' 'Jun Ji-hyun' 'In-mun Kim' 'Song Wok-suk',"
Comedy, Drama, Romance            "
999,999,The 39 Steps,1935,86 min,7.6,93        ,"55,081",%^%^%^,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",Alfred Hitchcock,'Robert Donat' 'Madeleine Carroll' 'Lucie Mannheim' 'Godfrey Tearle',"
Crime, Mystery, Thriller            "
404,404,Vizontele,2001,110 min,8.0,****,"35,549",%^%^%^,Lives of residents in a small Anatolian village change when television is introduced to them,"Directors:Yilmaz Erdogan, Ömer Faruk Sorak",'Yilmaz Erdogan' 'Demet Akbag' 'Altan Erkekli' 'Cem Yilmaz',"
Comedy, Drama            "
858,858,Kurenai no buta,1992,94 min,7.7,83        ,"84,534",%^%^%^,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",Hayao Miyazaki,'Shûichirô Moriyama' 'Tokiko Katô' 'Bunshi Katsura Vi' 'Tsunehiko Kamijô',"
Animation, Adventure, Comedy            "
593,593,Bringing Up Baby,1938,102 min,7.9,91        ,"59,526",%^%^%^,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Howard Hawks,'Katharine Hepburn' 'Cary Grant' 'Charles Ruggles' 'Walter Catlett',"
Comedy            "
742,742,The Lady Vanishes,1938,96 min,7.8,98        ,"50,725",%^%^%^,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",Alfred Hitchcock,'Margaret Lockwood' 'Michael Redgrave' 'Paul Lukas' 'May Whitty',"
Mystery, Thriller            "
553,553,Majo no takkyûbin,1989,103 min,7.9,83        ,"135,336",%^%^%^,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Hayao Miyazaki,'Kirsten Dunst' 'Minami Takayama' 'Rei Sakuma' 'Kappei Yamaguchi',"
Animation, Family, Fantasy            "
747,747,The Mitchells vs the Machines,2021,113 min,7.7,80        ,"80,580",%^%^%^,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","Directors:Michael Rianda, Jeff Rowe",'Abbi Jacobson' 'Danny McBride' 'Maya Rudolph' 'Michael Rianda',"
Animation, Adventure, Comedy            "
17,17,Shershaah,2021,135 min,8.7,****,"109,536",%^%^%^,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",Vishnuvardhan,'Sidharth Malhotra' 'Kiara Advani' 'Shiv Panditt' 'Pranay Pachauri',"
Action, Biography, Drama            "
61,61,Ratsasan,2018,170 min,8.4,****,"36,700",%^%^%^,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,'Vishnu Vishal' 'Amala Paul' 'Radha Ravi' 'Sangili Murugan',"
Action, Crime, Drama            "
151,151,Dune: Part One,2021,155 min,8.2,74        ,"386,221",%^%^%^,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,Denis Villeneuve,'Timothée Chalamet' 'Rebecca Ferguson' 'Zendaya' 'Oscar Isaac',"
Action, Adventure, Drama            "
0,0,Jai Bhim,2021,164 min,9.4,****,"156,727",%^%^%^,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,'Suriya' 'Lijo Mol Jose' 'Manikandan' 'Rajisha Vijayan',"
Crime, Drama            "
235,235,Zack Snyder's Justice League,2021,242 min,8.1,54        ,"349,342",%^%^%^,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,'Henry Cavill' 'Ben Affleck' 'Gal Gadot' 'Amy Adams',"
Action, Adventure, Fantasy            "
24,24,Drishyam 2,2021,152 min,8.6,****,"32,447",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Jeethu Joseph,'Mohanlal' 'Meena' 'Ansiba' 'Esther Anil',"
Crime, Drama, Thriller            "
239,239,CODA,2021,111 min,8.1,75        ,"27,340",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berkeley and her fear of abandoning her parents.",Sian Heder,'Emilia Jones' 'Marlee Matlin' 'Troy Kotsur' 'Daniel Durant',"
Drama, Music            "
11,11,Dara iz Jasenovca,2020,130 min,8.8,****,"79,961",%^%^%^,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,Predrag Antonijevic,'Biljana Cekic' 'Zlatan Vidovic' 'Anja Stanic' 'Luka Saranovic',"
Drama, War            "
3,3,Soorarai Pottru,2020,153 min,9.1,****,"104,457",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,'Suriya' 'Paresh Rawal' 'Aparna Balamurali' 'Gaurav Pareek',"
Drama            "
215,215,Soul,2020,100 min,8.1,83        ,"288,215",%^%^%^,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Directors:Pete Docter, Kemp Powers",'Jamie Foxx' 'Tina Fey' 'Graham Norton' 'Rachel House',"
Animation, Adventure, Comedy            "
347,347,WolfWalkers,2020,103 min,8.0,87        ,"27,215",%^%^%^,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Directors:Tomm Moore, Ross Stewart",'Honor Kneafsey' 'Eva Whittaker' 'Sean Bean' 'Simon McBurney',"
Animation, Adventure, Family            "
549,549,Jûbê ninpûchô,1993,94 min,7.9,****,"36,304",%^%^%^,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,Yoshiaki Kawajiri,'Kôichi Yamadera' 'Emi Shinohara' 'Takeshi Aono' 'Osamu Saka',"
Animation, Action, Adventure            "
963,963,Batoru rowaiaru,2000,114 min,7.6,81        ,"177,997",%^%^%^,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Kinji Fukasaku,'Tatsuya Fujiwara' 'Aki Maeda' 'Tarô Yamamoto' 'Chiaki Kuriyama',"
Action, Adventure, Drama            "
169,169,Hera Pheri,2000,156 min,8.2,****,"63,082",%^%^%^,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Priyadarshan,'Akshay Kumar' 'Suniel Shetty' 'Paresh Rawal' 'Tabu',"
Action, Comedy, Crime            "
673,673,Gongdong gyeongbi guyeok JSA,2000,110 min,7.8,58        ,"28,758",%^%^%^,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Park Chan-Wook,'Lee Yeong-ae' 'Lee Byung-hun' 'Kang-ho Song' 'Kim Tae-Woo',"
Action, Drama, Thriller            "
37,37,96,II 2018,158 min,8.5,****,"26,622",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,C. Prem Kumar,'Vijay Sethupathi' 'Adithya Bhaskar' 'Trisha Krishnan' 'Gouri Kishan',"
Drama, Romance            "
260,260,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,8.1,****,"48,509",%^%^%^,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Directors:Hideaki Anno, Kazuya Tsurumaki",'Megumi Ogata' 'Megumi Hayashibara' 'Yûko Miyamura' 'Kotono Mitsuishi',"
Animation, Action, Drama            "
598,598,Nosferatu,1922,94 min,7.9,****,"93,396",%^%^%^,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,F.W. Murnau,'Max Schreck' 'Alexander Granach' 'Gustav von Wangenheim' 'Greta Schröder',"
Fantasy, Horror            "
172,172,Eskiya,1996,128 min,8.2,****,"68,373",%^%^%^,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,'Sener Sen' 'Ugur Yücel' 'Sermin Hürmeriç' 'Yesim Salkim',"
Crime, Drama, Thriller            "
919,919,Victoria,II 2015,138 min,7.6,77        ,"56,601",%^%^%^,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Sebastian Schipper,'Laia Costa' 'Frederick Lau' 'Franz Rogowski' 'Burak Yigit',"
Crime, Drama, Romance            "
99,99,The Father,I 2020,97 min,8.3,88        ,"110,170",%^%^%^,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,'Anthony Hopkins' 'Olivia Colman' 'Mark Gatiss' 'Olivia Williams',"
Drama, Mystery            "
341,341,The Circus,1928,72 min,8.1,90        ,"32,610",%^%^%^,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,'Charles Chaplin' 'Merna Kennedy' 'Al Ernest Garcia' 'Harry Crocker',"
Comedy, Family, Romance            "
273,273,Dilwale Dulhania Le Jayenge,1995,189 min,8.1,****,"67,009",%^%^%^,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Aditya Chopra,'Shah Rukh Khan' 'Kajol' 'Amrish Puri' 'Farida Jalal',"
Drama, Romance            "
746,746,Frankenstein,1931,70 min,7.8,91        ,"69,793",%^%^%^,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,James Whale,'Colin Clive' 'Mae Clarke' 'Boris Karloff' 'John Boles',"
Drama, Horror, Sci-Fi            "
597,597,Freaks,1932,64 min,7.9,80        ,"44,802",%^%^%^,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Tod Browning,'Wallace Ford' 'Leila Hyams' 'Olga Baclanova' 'Roscoe Ates',"
Drama, Horror            "
745,745,Scarface,1932,93 min,7.8,87        ,"27,111",%^%^%^,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","Directors:Howard Hawks, Richard Rosson",'Paul Muni' 'Ann Dvorak' 'Karen Morley' 'Osgood Perkins',"
Action, Crime, Drama            "
849,849,Do lok tin si,1995,99 min,7.7,71        ,"34,218",%^%^%^,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",Kar-Wai Wong,'Leon Lai' 'Michelle Reis' 'Takeshi Kaneshiro' 'Charlie Yeung',"
Comedy, Crime, Drama            "
545,545,Mimi wo sumaseba,1995,111 min,7.9,75        ,"58,082",%^%^%^,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Yoshifumi Kondô,'Yoko Honna' 'Issey Takahashi' 'Takashi Tachibana' 'Shigeru Muroi',"
Animation, Drama, Family            "
352,352,Baby,I 2015,159 min,8.0,****,"56,026",%^%^%^,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Neeraj Pandey,'Akshay Kumar' 'Danny Denzongpa' 'Rana Daggubati' 'Taapsee Pannu',"
Action, Crime, Thriller            "
277,277,Andaz Apna Apna,1994,160 min,8.1,****,"52,119",%^%^%^,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,'Aamir Khan' 'Salman Khan' 'Raveena Tandon' 'Karisma Kapoor',"
Action, Comedy, Romance            "
744,744,Duck Soup,1933,69 min,7.8,93        ,"59,074",%^%^%^,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on.",Leo McCarey,'Groucho Marx' 'Harpo Marx' 'Chico Marx' 'Zeppo Marx',"
Comedy, Musical            "
616,616,Pride,I 2014,119 min,7.8,79        ,"54,777",%^%^%^,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,Matthew Warchus,'Bill Nighy' 'Imelda Staunton' 'Dominic West' 'Paddy Considine',"
Biography, Comedy, Drama            "
910,910,The Invisible Man,1933,71 min,7.7,87        ,"33,570",%^%^%^,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",James Whale,'Claude Rains' 'Gloria Stuart' 'William Harrigan' 'Henry Travers',"
Horror, Sci-Fi            "
484,484,The Thin Man,1934,91 min,8.0,86        ,"28,384",%^%^%^,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke,"'William Powell' 'Myrna Loy' ""Maureen O'Sullivan"" 'Nat Pendleton'","
Comedy, Mystery            "
645,645,Druk,2020,117 min,7.8,79        ,"121,081",%^%^%^,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Thomas Vinterberg,'Mads Mikkelsen' 'Thomas Bo Larsen' 'Magnus Millang' 'Lars Ranthe',"
Comedy, Drama            "
